partner,governorate,value_raw,pct,max_people_scale,status
__baseline_cluster__,Middle Area,"49,03K","31,28","1,627,252",ok
__baseline_cluster__,Khan Younis,"46,33K","29,55","1,627,252",ok
__baseline_cluster__,Gaza,"44,12K","28,14","1,627,252",ok
__baseline_cluster__,North Gaza,"12,91K","8,24","1,627,252",ok
AAH,Middle Area,"2,92K","27,08","371,688",ok
AAH,Khan Younis,"3,17K","29,4","371,688",ok
AAH,Gaza,"2,81K","26,03","371,688",ok
AAH,North Gaza,"1,6K","14,87","371,688",ok
ACTED,(no data),,,"33,382",ok
AFSC,Middle Area,30,"3,11","78,822",ok
AFSC,Khan Younis,473,"49,02","78,822",ok
AFSC,Gaza,437,"45,28","78,822",ok
AH,Middle Area,"1,66K","58,78","123,693",ok
AH,Gaza,"1,16K","41,04","123,693",ok
AIOCP,Middle Area,"0,5K","13,97","351,983",ok
AIOCP,Khan Younis,"0,49K","13,85","351,983",ok
AIOCP,Gaza,"1,5K","42,21","351,983",ok
AIOCP,North Gaza,"1,07K","29,97","351,983",ok
ANERA,Middle Area,"330,8000000000002","36,58","70,179",ok
ANERA,Khan Younis,"427,3000000000002","47,25","70,179",ok
ANERA,Gaza,"143,79000000000002","15,9","70,179",ok
BLDA,(no data),,,"4,165",ok
CARE,Middle Area,"0,4K","13,84","225,565",ok
CARE,Khan Younis,"1,26K","44,13","225,565",ok
CARE,Gaza,"1,2K","42,03","225,565",ok
CCP-Japan,Middle Area,350,"42,17","56,644",ok
CCP-Japan,Khan Younis,160,"19,28","56,644",ok
CCP-Japan,Gaza,314,"37,83","56,644",ok
CESVI,Middle Area,20,"22,6","7,504",ok
CESVI,Khan Younis,21,"23,73","7,504",ok
CESVI,Gaza,45,"50,85","7,504",ok
CESVI,North Gaza,"2,5","2,82","7,504",ok
CMWU,Khan Younis,"2,17K","88,04","119,233",ok
CMWU,Rafah,"0,23K","9,37","119,233",ok
CRS,Khan Younis,160,"25,89","37,124",ok
CRS,Gaza,448,"72,49","37,124",ok
CRS,North Gaza,10,"1,62","37,124",ok
DCA/NCA,Khan Younis,225,"88,24","31,284",ok
DCA/NCA,Gaza,30,"11,76","31,284",ok
DFD,(no data),,,999,ok
FAFD,Middle Area,"0,12K","6,7","137,333",ok
FAFD,Gaza,"1,37K","76,54","137,333",ok
FAFD,North Gaza,"0,3K","16,76","137,333",ok
GDD,Middle Area,"0,55K","13,76","173,100",ok
GDD,Khan Younis,"0,61K","15,26","173,100",ok
GDD,Gaza,"1,93K","48,54","173,100",ok
GDD,North Gaza,"0,77K","19,25","173,100",ok
GEM,Middle Area,"1,1K","62,64","8,292",ok
GEM,Khan Younis,"0,53K","30,34","8,292",ok
GEM,Gaza,"0,11K","6,26","8,292",ok
HA,Middle Area,"48,167","28,47","15,138",ok
HA,Khan Younis,"21,715000000000003","12,83","15,138",ok
HA,Gaza,"90,866","53,71","15,138",ok
HF,Khan Younis,"0,35K","13,61","288,153",ok
HF,Gaza,"1,91K","73,97","288,153",ok
HF,North Gaza,"0,28K","10,85","288,153",ok
IDRF,Middle Area,"76,6","12,4","51,666",ok
IDRF,Khan Younis,154,"24,94","51,666",ok
IDRF,Gaza,260,"42,1","51,666",ok
IDRF,North Gaza,115,"18,62","51,666",ok
IHH,Khan Younis,10,"7,94","21,760",ok
IHH,Gaza,70,"55,56","21,760",ok
IHH,North Gaza,46,"36,51","21,760",ok
IMC,Middle Area,"258,70000000000005","32,67","41,330",ok
